,algorithm,dimension,iterations,time
0,jacobi,3,9,0.004163000000005468
1,jacobi,3,8,0.0005510000000015225
2,jacobi,3,8,0.000542000000002929
3,jacobi,3,7,0.0006219999999999004
4,jacobi,3,9,0.0005939999999995393
5,jacobi,3,8,0.0007989999999935549
6,jacobi,3,8,0.0006020000000006576
7,jacobi,3,8,0.0005510000000015225
8,jacobi,3,8,0.0011319999999983565
9,jacobi,3,8,0.0005450000000024602
10,jacobi,3,9,0.0010159999999999059
11,jacobi,3,7,0.0008449999999982083
12,jacobi,3,9,0.0005709999999936599
13,jacobi,3,8,0.000628999999996438
14,jacobi,3,7,0.0009810000000030072
15,jacobi,3,7,0.000506999999998925
16,jacobi,3,7,0.0008410000000012019
17,jacobi,3,8,0.0010580000000004475
18,jacobi,3,8,0.0005389999999962924
19,jacobi,3,8,0.0005680000000012342
20,jacobi,3,7,0.0006979999999998654
21,jacobi,3,7,0.0005009999999998627
22,jacobi,3,9,0.0014660000000006335
23,jacobi,3,7,0.001066999999999041
24,jacobi,3,7,0.0005220000000036862
25,jacobi,3,7,0.0037870000000026494
26,jacobi,3,8,0.0005799999999993588
27,jacobi,3,7,0.0004899999999992133
28,jacobi,3,8,0.001665000000002692
29,jacobi,3,8,0.000610999999999251
30,jacobi,3,8,0.002324000000001547
31,jacobi,3,8,0.008206000000001268
32,jacobi,3,7,0.0037009999999995102
33,jacobi,3,9,0.0008580000000009136
34,jacobi,3,9,0.0012439999999998008
35,jacobi,3,8,0.0006759999999985666
36,jacobi,3,9,0.001350999999999658
37,jacobi,3,8,0.0006550000000018485
38,jacobi,3,9,0.005048999999999637
39,jacobi,3,7,0.0005710000000007653
40,jacobi,3,9,0.0025630000000020914
41,jacobi,3,7,0.0005910000000000082
42,jacobi,3,7,0.0005129999999979873
43,jacobi,3,8,0.005668999999997482
44,jacobi,3,9,0.000656999999996799
45,jacobi,3,8,0.002430999999994299
46,jacobi,3,7,0.0006279999999989627
47,jacobi,3,8,0.0005670000000037589
48,jacobi,3,9,0.0023209999999949105
49,jacobi,3,9,0.0006380000000021369
50,jacobi,3,9,0.0026849999999996044
51,jacobi,3,8,0.0006319999999959691
52,jacobi,3,7,0.0005030000000019186
53,jacobi,3,8,0.0044469999999989795
54,jacobi,3,8,0.0006100000000017758
55,jacobi,3,7,0.002195000000000391
56,jacobi,3,7,0.0005780000000044083
57,jacobi,3,8,0.0005960000000015953
58,jacobi,3,9,0.005271999999997945
59,jacobi,3,9,0.0006830000000022096
60,jacobi,3,7,0.002025000000003274
61,jacobi,3,7,0.0007820000000009486
62,jacobi,3,6,0.0004690000000024952
63,jacobi,3,7,0.0005479999999948859
64,jacobi,3,8,0.0012970000000009918
65,jacobi,3,7,0.0004969999999957508
66,jacobi,3,8,0.0019239999999953739
67,jacobi,3,7,0.0005610000000046966
68,jacobi,3,9,0.0005689999999987094
69,jacobi,3,6,0.0018849999999943634
70,jacobi,3,7,0.0007540000000005875
71,jacobi,3,7,0.0021079999999997767
72,jacobi,3,8,0.0006430000000037239
73,jacobi,3,9,0.000610999999999251
74,jacobi,3,8,0.0008369999999970901
75,jacobi,3,7,0.000580999999996834
76,jacobi,3,9,0.0005960000000015953
77,jacobi,3,8,0.005316999999998018
78,jacobi,3,6,0.0004909999999966885
79,jacobi,3,8,0.0007979999999960796
80,jacobi,3,7,0.0017969999999962738
81,jacobi,3,9,0.0006389999999996121
82,jacobi,3,8,0.000846000000002789
83,jacobi,3,9,0.0006800000000026785
84,jacobi,3,9,0.0005930000000020641
85,jacobi,3,8,0.0028930000000002565
86,jacobi,3,8,0.0005790000000018836
87,jacobi,3,7,0.0006210000000024252
88,jacobi,3,9,0.0006699999999995043
89,jacobi,3,8,0.0005659999999991783
90,jacobi,3,9,0.005935000000000912
91,jacobi,3,8,0.000588000000000477
92,jacobi,3,9,0.0021830000000022665
93,jacobi,3,8,0.0006349999999955003
94,jacobi,3,8,0.0005779999999973029
95,jacobi,3,9,0.005071999999998411
96,jacobi,3,8,0.0008330000000000837
97,jacobi,3,7,0.0009289999999992915
98,jacobi,3,7,0.004819000000004792
99,jacobi,3,8,0.000658999999998855
100,jacobi,4,18,0.0025619999999975107
101,jacobi,4,18,0.0012299999999996203
102,jacobi,4,18,0.006464999999998611
103,jacobi,4,18,0.0011970000000047776
104,jacobi,4,15,0.0033999999999991815
105,jacobi,4,15,0.0012380000000007385
106,jacobi,4,19,0.004260999999999626
107,jacobi,4,15,0.0010229999999964434
108,jacobi,4,18,0.002834000000000003
109,jacobi,4,15,0.0009709999999998331
110,jacobi,4,17,0.0016439999999988686
111,jacobi,4,16,0.00220400000000609
112,jacobi,4,20,0.0010990000000035138
113,jacobi,4,16,0.0009439999999969473
114,jacobi,4,15,0.0008399999999966212
115,jacobi,4,14,0.0007720000000048799
116,jacobi,4,15,0.0008120000000033656
117,jacobi,4,16,0.0008869999999987499
118,jacobi,4,19,0.000996000000000663
119,jacobi,4,17,0.0009060000000005175
120,jacobi,4,17,0.001018999999999437
121,jacobi,4,16,0.0008989999999968745
122,jacobi,4,15,0.0008339999999975589
123,jacobi,4,14,0.004286999999997931
124,jacobi,4,18,0.0009840000000025384
125,jacobi,4,18,0.0009449999999944225
126,jacobi,4,18,0.00171100000000024
127,jacobi,4,17,0.0011130000000036944
128,jacobi,4,17,0.0009009999999989304
129,jacobi,4,19,0.003337999999999397
130,jacobi,4,17,0.0010270000000005552
131,jacobi,4,17,0.0009039999999984616
132,jacobi,4,16,0.0017969999999962738
133,jacobi,4,17,0.0009340000000008786
134,jacobi,4,17,0.007750999999998953
135,jacobi,4,18,0.0010550000000009163
136,jacobi,4,17,0.0031530000000046243
137,jacobi,4,16,0.0017520000000033065
138,jacobi,4,16,0.0011110000000016385
139,jacobi,4,18,0.0012900000000044543
140,jacobi,4,15,0.003855000000001496
141,jacobi,4,17,0.002068000000001291
142,jacobi,4,18,0.001246999999999332
143,jacobi,4,17,0.001041999999998211
144,jacobi,4,17,0.0009650000000007708
145,jacobi,4,15,0.0008799999999951069
146,jacobi,4,17,0.0009230000000002292
147,jacobi,4,17,0.0016259999999945762
148,jacobi,4,16,0.001548999999997136
149,jacobi,4,16,0.001533000000002005
150,jacobi,4,16,0.001366999999994789
151,jacobi,4,14,0.0007829999999984238
152,jacobi,4,16,0.0008499999999997954
153,jacobi,4,15,0.0008379999999945653
154,jacobi,4,15,0.0008359999999996148
155,jacobi,4,14,0.0007779999999968368
156,jacobi,4,17,0.0010219999999989682
157,jacobi,4,15,0.0008130000000008408
158,jacobi,4,16,0.0008569999999963329
159,jacobi,4,18,0.0010890000000003397
160,jacobi,4,15,0.0010150000000024306
161,jacobi,4,20,0.0010690000000010969
162,jacobi,4,17,0.0009319999999988227
163,jacobi,4,18,0.0009790000000009513
164,jacobi,4,17,0.0010399999999961551
165,jacobi,4,18,0.0010229999999964434
166,jacobi,4,18,0.00105100000000391
167,jacobi,4,17,0.0010380000000012046
168,jacobi,4,16,0.0008919999999932315
169,jacobi,4,16,0.0008979999999993993
170,jacobi,4,19,0.0011100000000041632
171,jacobi,4,16,0.0008840000000063242
172,jacobi,4,15,0.0008589999999983888
173,jacobi,4,18,0.0009999999999976694
174,jacobi,4,15,0.0008470000000002642
175,jacobi,4,18,0.0009969999999981383
176,jacobi,4,19,0.0011259999999992942
177,jacobi,4,17,0.0009119999999995798
178,jacobi,4,15,0.0008290000000030773
179,jacobi,4,16,0.0008540000000039072
180,jacobi,4,19,0.0010940000000019268
181,jacobi,4,19,0.0010060000000038372
182,jacobi,4,18,0.0009490000000056398
183,jacobi,4,15,0.0008139999999983161
184,jacobi,4,17,0.00089900000000398
185,jacobi,4,16,0.0008679999999969823
186,jacobi,4,16,0.0014170000000035543
187,jacobi,4,17,0.0009349999999983538
188,jacobi,4,16,0.0008539999999968018
189,jacobi,4,15,0.0015790000000066584
190,jacobi,4,13,0.0008419999999986771
191,jacobi,4,17,0.0009099999999975239
192,jacobi,4,13,0.0007260000000002265
